id,card_id,version_type,version_suffix,has_star_mark,rarity_variant,source_description,created_at,updated_at,series_id,illustration_type
3158,2303,normal,,0,,,2026-02-15 14:47:47.500029,2026-02-16 18:08:38.937293,51,
3159,2304,normal,,0,,,2026-02-15 14:47:47.503633,2026-02-16 18:08:38.938347,51,
3160,2305,normal,,0,,,2026-02-15 14:47:47.505196,2026-02-16 18:08:38.938997,51,
3161,2306,normal,,0,,,2026-02-15 14:47:47.507589,2026-02-16 18:08:38.939600,51,
3162,2307,normal,,0,,,2026-02-15 14:47:47.510094,2026-02-16 18:08:38.940158,51,
3163,2308,normal,,0,,,2026-02-15 14:47:47.512489,2026-02-16 18:08:38.940761,51,
3164,2309,normal,,0,,,2026-02-15 14:47:47.514013,2026-02-16 18:08:38.941324,51,
3165,2310,normal,,0,,,2026-02-15 14:47:47.515614,2026-02-16 18:08:38.941900,51,
3166,2311,normal,,0,,,2026-02-15 14:47:47.517978,2026-02-16 18:08:38.942484,51,
3167,2312,normal,,0,,,2026-02-15 14:47:47.519590,2026-02-16 18:08:38.943031,51,
3168,2313,normal,,0,,,2026-02-15 14:47:47.521868,2026-02-16 18:08:38.943615,51,
3169,2314,normal,,0,,,2026-02-15 14:47:47.523434,2026-02-16 18:08:38.944155,51,
3170,2315,normal,,0,,,2026-02-15 14:47:47.524952,2026-02-16 18:08:38.944765,51,
3171,2316,normal,,0,,,2026-02-15 14:47:47.527274,2026-02-16 18:08:38.945367,51,
3172,2317,normal,,0,,,2026-02-15 14:47:47.529601,2026-02-16 18:08:38.945919,51,
3173,2318,normal,,0,,,2026-02-15 14:47:47.531879,2026-02-16 18:08:38.946475,51,
3174,2319,normal,,0,,,2026-02-15 14:47:47.534169,2026-02-16 18:08:38.947004,51,
3175,2320,normal,,0,,,2026-02-15 14:47:47.536552,2026-02-16 18:08:38.947568,51,
3176,2321,normal,,0,,,2026-02-15 14:47:47.538166,2026-02-16 18:08:38.948093,51,
3177,2322,normal,,0,,,2026-02-15 14:47:47.540525,2026-02-16 18:08:38.948657,51,
3178,2323,normal,,0,,,2026-02-15 14:47:47.542783,2026-02-16 18:08:38.949225,51,
3179,2324,normal,,0,,,2026-02-15 14:47:47.544373,2026-02-16 18:08:38.949811,51,
3180,2325,normal,,0,,,2026-02-15 14:47:47.546682,2026-02-16 18:08:38.950363,51,
3181,2326,normal,,0,,,2026-02-15 14:47:47.548958,2026-02-16 18:08:38.950899,51,
3182,2327,normal,,0,,,2026-02-15 14:47:47.550489,2026-02-16 18:08:38.951463,51,
3183,2328,normal,,0,,,2026-02-15 14:47:47.552842,2026-02-16 18:08:38.951994,51,
3184,2329,normal,,0,,,2026-02-15 14:47:47.555134,2026-02-16 18:08:38.952583,51,
3185,2330,normal,,0,,,2026-02-15 14:47:47.557530,2026-02-16 18:08:38.953125,51,
3186,2331,normal,,0,,,2026-02-15 14:47:47.559863,2026-02-16 18:08:38.953703,51,
3187,2332,normal,,0,,,2026-02-15 14:47:47.562133,2026-02-16 18:08:38.954230,51,
3188,2333,normal,,0,,,2026-02-15 14:47:47.563682,2026-02-16 18:08:38.954798,51,
3189,2334,normal,,0,,,2026-02-15 14:47:47.565948,2026-02-16 18:08:38.955365,51,
3190,2335,normal,,0,,,2026-02-15 14:47:47.568205,2026-02-16 18:08:38.955945,51,
3191,2336,normal,,0,,,2026-02-15 14:47:47.569750,2026-02-16 18:08:38.956507,51,
3192,2337,normal,,0,,,2026-02-15 14:47:47.572823,2026-02-16 18:08:38.957033,51,
3193,2338,normal,,0,,,2026-02-15 14:47:47.574341,2026-02-16 18:08:38.957578,51,
3194,2339,normal,,0,,,2026-02-15 14:47:47.575945,2026-02-16 18:08:38.958095,51,
3195,2340,normal,,0,,,2026-02-15 14:47:47.578238,2026-02-16 18:08:38.958652,51,
3196,2341,normal,,0,,,2026-02-15 14:47:47.579792,2026-02-16 18:08:38.959164,51,
3197,2342,normal,,0,,,2026-02-15 14:47:47.582071,2026-02-16 18:08:38.959746,51,
3198,2343,normal,,0,,,2026-02-15 14:47:47.584384,2026-02-16 18:08:38.960314,51,
3199,2344,normal,,0,,,2026-02-15 14:47:47.586750,2026-02-16 18:08:38.960855,51,
3200,2345,normal,,0,,,2026-02-15 14:47:47.589030,2026-02-16 18:08:38.961391,51,
3201,2346,normal,,0,,,2026-02-15 14:47:47.591314,2026-02-16 18:08:38.961944,51,
3202,2347,normal,,0,,,2026-02-15 14:47:47.593589,2026-02-16 18:08:38.962576,51,
